Status,FeatureType,PropertyName,SubPropertyName,GISPropNum,OMPPropID,Borough,District,x,y
Broken,Misting Station,Houston Playground,,B363,B363,Brooklyn,B-16,1010558.59533663,184124.637377977
Broken,RPZ Spray Adapter,Fish Playground,,B325,B325,Brooklyn,B-16,1008024.77756963,186424.844063639
Activated,Misting Station,Highbridge Park,Ft George Plgd,M037,M037-09,Manhattan,M-12A,1004796.20561471,252009.91302447
,Misting Station,Highbridge Park,,M037,M037-ZN04,Manhattan,M-12A,1005068.93899286,251786.068985115
Activated,RPZ Spray Adapter,Highbridge Park,Sunken Plgd,M037,M037-01,Manhattan,M-12A,1001920.38918788,244556.258312389
Activated,Drinking Fountain Spray Adapter,Highbridge Park,Coogan's Bluff Playground,M037,M037-08,Manhattan,M-12A,1000822.81789222,242280.265160977
Activated,Misting Station,Wright Brothers Playground,,M234,M234,Manhattan,M-12A,1000323.92518922,242352.690212979
Activated,Other,Harmony Park,,B403,B403,Brooklyn,B-03,1002343.50251488,186291.008701398
Activated,CS Spray Adapter,Renaissance Playground,,M245,M245,Manhattan,M-10,1000385.12290146,238634.541481316
Not Yet Activated,Misting Station,Fred Samuel Playground,,M160,M160,Manhattan,M-10,1001129.51281689,237066.072505399
Activated,Misting Station,St. Nicholas Playground South,,M211A,M211A,Manhattan,M-10,998896.174763888,234868.43648073
Activated,Misting Station,"Martin Luther King, Jr. Playground",,M198,M198,Manhattan,M-10,997956.958794549,230885.594052732
Activated,Misting Station,Wagner Houses Pool,Othmar Ammann Playground,M273,M273-01,Manhattan,M-11,1002943.2198191,231334.140072793
Activated,Misting Station,John Jay Park,,M045,M045,Manhattan,M-08,998285.659580722,219463.96039997
Broken,Misting Station,Jerome Playground,,B246,B246,Brooklyn,B-05,1017681.21691814,179338.786057308
Broken,Buckner Box Spray Adapter,Sankofa Park,,B261,B261,Brooklyn,B-05,1015836.08675013,181774.636172473
Broken,Misting Station,Grace Playground,,B078,B078,Brooklyn,B-05,1013480.28732788,183772.164657726
Activated,Misting Station,P.O. Reinaldo Salgado Playground,,B224,B224,Brooklyn,B-03,1004900.88683579,189910.295754149
Broken,Misting Station,Zion Triangle,,B116,B116,Brooklyn,B-16,1006834.27240471,182898.586680471
Broken,Misting Station,Zion Triangle,,B116,B116,Brooklyn,B-16,1006795.96637897,182926.54364556
Activated,Drinking Fountain Spray Adapter,Upper Highland Playground,Upper Highland Playground,Q020,Q020-02,Queens,Q-05A,1013923.80317313,188120.486669734
Broken,Misting Station,Star Spangled Playground,,B266,B266,Brooklyn,B-03,995837.182194218,191319.581977561
Activated,Misting Station,Wagner Houses Pool,,M273,M273,Manhattan,M-11,1002721.09362322,231394.076303482
Activated,CS Spray Adapter,Inwood Hill Park,,M042,M042,Manhattan,M-12,1005976.11368797,256345.707830563
Activated,Misting Station,Kosciuszko Pool,,B351,B351,Brooklyn,B-03,998414.185476156,191236.561537811
Broken,CS Spray Adapter,P.S. 279 Playground,,B305,B305,Brooklyn,B-18,1013878.71475124,174118.479726777
Activated,Misting Station,Marcus Garvey Park,,M058,M058,Manhattan,M-11,999981.288089861,232711.728711896
Activated,Misting Station,Marcus Garvey Park,,M058,M058,Manhattan,M-11,999844.627043165,232695.29398105
Broken,Misting Station,Nostrand Playground,,B250,B250,Brooklyn,B-17,998820.707122646,171859.354194095
Not Yet Activated,Misting Station,Hamilton Fish Park,,,,Manhattan,,989406.723142808,201692.205023908
Not Yet Activated,Misting Station,Hamilton Fish Park,,,,Manhattan,,989501.535551933,201758.818813449
Activated,Misting Station,Fred Samuel Playground,,,,Manhattan,,1001058.53807544,236970.535149579
Activated,Spray Bollard,Rockaway Beach Boardwalk,,,,Queens,,1052981.75196073,155492.198654389
